Time interval: 40
Azimuth angle: 35
Type: Harpoon
7613.56 10873.29 144.06
7609.42 10867.37 140.01
7605.27 10861.46 136.04
7601.13 10855.54 132.14
7596.99 10849.63 128.32
7592.85 10843.71 124.58
7588.71 10837.80 120.91
7584.57 10831.88 117.32
7580.43 10825.97 113.80
7576.28 10820.06 110.35
7572.14 10814.14 106.97
7568.00 10808.23 103.66
7563.86 10802.31 100.42
7559.72 10796.40 97.25
7555.58 10790.48 94.15
7551.44 10784.57 91.11
7547.29 10778.65 88.14
7543.15 10772.74 85.24
7539.01 10766.82 82.41
7534.87 10760.91 79.63
7530.73 10754.99 76.92
7526.59 10749.08 74.28
7522.44 10743.16 71.70
7518.30 10737.25 69.18
7514.16 10731.33 66.72
7510.02 10725.42 64.33
7505.88 10719.51 61.99
7501.74 10713.59 59.72
7497.60 10707.68 57.51
7493.45 10701.76 55.36
7489.31 10695.85 53.26
7485.17 10689.93 51.23
7481.03 10684.02 49.25
7476.89 10678.10 47.33
7472.75 10672.19 45.47
7468.60 10666.27 43.67
7464.46 10660.36 41.93
7460.32 10654.44 40.24
7456.18 10648.53 38.61
7452.04 10642.61 37.03
7447.90 10636.70 35.52
7443.76 10630.79 34.05
7439.61 10624.87 32.65
7435.47 10618.96 31.29
7431.33 10613.04 30.00
7427.19 10607.13 28.76
7423.05 10601.21 27.57
7418.91 10595.30 26.44
7414.77 10589.38 25.36
7410.62 10583.47 24.33
7406.48 10577.55 23.36
7402.34 10571.64 22.45
7398.20 10565.72 21.59
7394.06 10559.81 20.78
7389.92 10553.89 20.02
7385.77 10547.98 19.32
7381.63 10542.06 18.67
7377.49 10536.15 18.08
7373.35 10530.24 17.53
7369.21 10524.32 17.04
7365.07 10518.41 16.60
7360.93 10512.49 16.22
7356.78 10506.58 15.89
7352.64 10500.66 15.61
7348.50 10494.75 15.38
7344.36 10488.83 15.21
7340.22 10482.92 15.09
7336.08 10477.00 15.02
7331.94 10471.09 15.00
7326.50 10463.32 15.00
7320.30 10454.48 15.00
7314.11 10445.63 15.00
7307.91 10436.78 15.00
7301.72 10427.93 15.00
7295.52 10419.09 15.00
7289.33 10410.24 15.00
7283.13 10401.39 15.00
7276.94 10392.55 15.00
7270.75 10383.70 15.00
7264.55 10374.85 15.00
7258.36 10366.01 15.00
7252.16 10357.16 15.00
7245.97 10348.31 15.00
7239.77 10339.47 15.00
7233.58 10330.62 15.00
7227.38 10321.77 15.00
7221.19 10312.93 15.00
7214.99 10304.08 15.00
7208.80 10295.23 15.00
7202.60 10286.39 15.00
7196.41 10277.54 15.00
7190.22 10268.69 15.00
7184.02 10259.84 15.00
7177.83 10251.00 15.00
7171.63 10242.15 15.00
7165.44 10233.30 15.00
7159.24 10224.46 15.00
7153.05 10215.61 15.00
7146.85 10206.76 15.00
7140.66 10197.92 15.00
7134.46 10189.07 15.00
7128.27 10180.22 15.00
7122.07 10171.38 15.00
7115.88 10162.53 15.00
7109.68 10153.68 15.00
7103.49 10144.84 15.00
7097.30 10135.99 15.00
7091.10 10127.14 15.00
7084.91 10118.30 15.00
7078.71 10109.45 15.00
7072.52 10100.60 15.00
7066.32 10091.75 15.00
7060.13 10082.91 15.00
7053.93 10074.06 15.00
7047.74 10065.21 15.00
7041.54 10056.37 15.00
7035.35 10047.52 15.00
7029.15 10038.67 15.00
7022.96 10029.83 15.00
7016.77 10020.98 15.00
7010.57 10012.13 15.00
7004.38 10003.29 15.00
6998.18 9994.44 15.00
6991.99 9985.59 15.00
6985.79 9976.75 15.00
6979.60 9967.90 15.00
6973.40 9959.05 15.00
6967.21 9950.21 15.00
6961.01 9941.36 15.00
6954.82 9932.51 15.00
6948.62 9923.66 15.00
6942.43 9914.82 15.00
6936.24 9905.97 15.00
6930.04 9897.12 15.00
6923.85 9888.28 15.00
6917.65 9879.43 15.00
6911.46 9870.58 15.00
6905.26 9861.74 15.00
6899.07 9852.89 15.00
6892.87 9844.04 15.00
6886.68 9835.20 15.00
6880.48 9826.35 15.00
6874.29 9817.50 15.00
6868.09 9808.66 15.00
6861.90 9799.81 15.00
6855.71 9790.96 15.00
6849.51 9782.12 15.00
6843.32 9773.27 15.00
6837.12 9764.42 15.00
6830.93 9755.57 15.00
6824.73 9746.73 15.00
6818.54 9737.88 15.00
6812.34 9729.03 15.00
6806.15 9720.19 15.00
6799.95 9711.34 15.00
6793.76 9702.49 15.00
6787.56 9693.65 15.00
6781.37 9684.80 15.00
6775.18 9675.95 15.00
6768.98 9667.11 15.00
6762.79 9658.26 15.00
6756.59 9649.41 15.00
6750.40 9640.57 15.00
6744.20 9631.72 15.00
6738.01 9622.87 15.00
6731.81 9614.03 15.00
6725.62 9605.18 15.00
6719.42 9596.33 15.00
6713.23 9587.48 15.00
6707.03 9578.64 15.00
6700.84 9569.79 15.00
6694.65 9560.94 15.00
6688.45 9552.10 15.00
6682.26 9543.25 15.00
6676.06 9534.40 15.00
6669.87 9525.56 15.00
6663.67 9516.71 15.00
6657.48 9507.86 15.00
6651.28 9499.02 15.00
6645.09 9490.17 15.00
6638.89 9481.32 15.00
6632.70 9472.48 15.00
6626.50 9463.63 15.00
6620.31 9454.78 15.00
6614.11 9445.94 15.00
6607.92 9437.09 15.00
6601.73 9428.24 15.00
6595.53 9419.39 15.00
6589.34 9410.55 15.00
6583.14 9401.70 15.00
6576.95 9392.85 15.00
6570.75 9384.01 15.00
6564.56 9375.16 15.00
6558.36 9366.31 15.00
6552.17 9357.47 15.00
6545.97 9348.62 15.00
6539.78 9339.77 15.00
6533.58 9330.93 15.00
6527.39 9322.08 15.00
6521.20 9313.23 15.00
6515.00 9304.39 15.00
6508.81 9295.54 15.00
6502.61 9286.69 15.00
6496.42 9277.85 15.00
6490.22 9269.00 15.00
6484.03 9260.15 15.00
6477.83 9251.30 15.00
6471.64 9242.46 15.00
6465.44 9233.61 15.00
6459.25 9224.76 15.00
6453.05 9215.92 15.00
6446.86 9207.07 15.00
6440.67 9198.22 15.00
6434.47 9189.38 15.00
6428.28 9180.53 15.00
6422.08 9171.68 15.00
6415.89 9162.84 15.00
6409.69 9153.99 15.00
6403.50 9145.14 15.00
6397.30 9136.30 15.00
6391.11 9127.45 15.00
6384.91 9118.60 15.00
6378.72 9109.76 15.00
6372.52 9100.91 15.00
6366.33 9092.06 15.00
6360.14 9083.21 15.00
6353.94 9074.37 15.00
6347.75 9065.52 15.00
6341.55 9056.67 15.00
6335.36 9047.83 15.00
6329.16 9038.98 15.00
6322.97 9030.13 15.00
6316.77 9021.29 15.00
6310.58 9012.44 15.00
6304.38 9003.59 15.00
6298.19 8994.75 15.00
6291.99 8985.90 15.00
6285.80 8977.05 15.00
6279.61 8968.21 15.00
6273.41 8959.36 15.00
6267.22 8950.51 15.00
6261.02 8941.67 15.00
6254.83 8932.82 15.00
6248.63 8923.97 15.00
6242.44 8915.12 15.00
6236.24 8906.28 15.00
6230.05 8897.43 15.00
6223.85 8888.58 15.00
6217.66 8879.74 15.00
6211.46 8870.89 15.00
6205.27 8862.04 15.00
6199.08 8853.20 15.00
6192.88 8844.35 15.00
6186.69 8835.50 15.00
6180.49 8826.66 15.00
6174.30 8817.81 15.00
6168.10 8808.96 15.00
6161.91 8800.12 15.00
6155.71 8791.27 15.00
6149.52 8782.42 15.00
6143.32 8773.58 15.00
6137.13 8764.73 15.00
6130.93 8755.88 15.00
6124.74 8747.03 15.00
6118.54 8738.19 15.00
6112.35 8729.34 15.00
6106.16 8720.49 15.00
6099.96 8711.65 15.00
6093.77 8702.80 15.00
6087.57 8693.95 15.00
6081.38 8685.11 15.00
6075.18 8676.26 15.00
6068.99 8667.41 15.00
6062.79 8658.57 15.00
6056.60 8649.72 15.00
6050.40 8640.87 15.00
6044.21 8632.03 15.00
6038.01 8623.18 15.00
6031.82 8614.33 15.00
6025.63 8605.49 15.00
6019.43 8596.64 15.00
6013.24 8587.79 15.00
6007.04 8578.94 15.00
6000.85 8570.10 15.00
5994.65 8561.25 15.00
5988.46 8552.40 15.00
5982.26 8543.56 15.00
5976.07 8534.71 15.00
5969.87 8525.86 15.00
5963.68 8517.02 15.00
5957.48 8508.17 15.00
5951.29 8499.32 15.00
5945.10 8490.48 15.00
5938.90 8481.63 15.00
5932.71 8472.78 15.00
5926.51 8463.94 15.00
5920.32 8455.09 15.00
5914.12 8446.24 15.00
5907.93 8437.40 15.00
5901.73 8428.55 15.00
5895.54 8419.70 15.00
5889.34 8410.85 15.00
5883.15 8402.01 15.00
5876.95 8393.16 15.00
5870.76 8384.31 15.00
5864.57 8375.47 15.00
5858.37 8366.62 15.00
5852.18 8357.77 15.00
5845.98 8348.93 15.00
5839.79 8340.08 15.00
5833.59 8331.23 15.00
5827.40 8322.39 15.00
5821.20 8313.54 15.00
5815.01 8304.69 15.00
5808.81 8295.85 15.00
5802.62 8287.00 15.00
5796.42 8278.15 15.00
5790.23 8269.31 15.00
5784.04 8260.46 15.00
5777.84 8251.61 15.00
5771.65 8242.76 15.00
5765.45 8233.92 15.00
5759.26 8225.07 15.00
5753.06 8216.22 15.00
5746.87 8207.38 15.00
5740.67 8198.53 15.00
5734.48 8189.68 15.00
5728.28 8180.84 15.00
5722.09 8171.99 15.00
5715.89 8163.14 15.00
5709.70 8154.30 15.00
5703.50 8145.45 15.00
5697.31 8136.60 15.00
5691.12 8127.76 15.00
5684.92 8118.91 15.00
5678.73 8110.06 15.00
5672.53 8101.22 15.00
5666.34 8092.37 15.00
5660.14 8083.52 15.00
5653.95 8074.67 15.00
5647.75 8065.83 15.00
5641.56 8056.98 15.00
5635.36 8048.13 15.00
5629.17 8039.29 15.00
5622.97 8030.44 15.00
5616.78 8021.59 15.00
5610.59 8012.75 15.00
5604.39 8003.90 15.00
5598.20 7995.05 15.00
5592.00 7986.21 15.00
5585.81 7977.36 15.00
5579.61 7968.51 15.00
5573.42 7959.67 15.00
5567.22 7950.82 15.00
5561.03 7941.97 15.00
5554.83 7933.13 15.00
5548.64 7924.28 15.00
5542.44 7915.43 15.00
5536.25 7906.58 15.00
5530.06 7897.74 15.00
5523.86 7888.89 15.00
5517.67 7880.04 15.00
5511.47 7871.20 15.00
5505.28 7862.35 15.00
5499.08 7853.50 15.00
5492.89 7844.66 15.00
5486.69 7835.81 15.00
5480.50 7826.96 15.00
5474.30 7818.12 15.00
5468.11 7809.27 15.00
5461.91 7800.42 15.00
5455.72 7791.58 15.00
5449.53 7782.73 15.00
5443.33 7773.88 15.00
5437.14 7765.04 15.00
5430.94 7756.19 15.00
5424.75 7747.34 15.00
5418.55 7738.49 15.00
5412.36 7729.65 15.00
5406.16 7720.80 15.00
5399.97 7711.95 15.00
5393.77 7703.11 15.00
5387.58 7694.26 15.00
5381.38 7685.41 15.00
5375.19 7676.57 15.00
5369.00 7667.72 15.00
5362.80 7658.87 15.00
5356.61 7650.03 15.00
5350.41 7641.18 15.00
5344.22 7632.33 15.00
5338.02 7623.49 15.00
5331.83 7614.64 15.00
5325.63 7605.79 15.00
5319.44 7596.95 15.00
5313.24 7588.10 15.00
5307.05 7579.25 15.00
5300.85 7570.40 15.00
5294.66 7561.56 15.00
5288.47 7552.71 15.00
5282.27 7543.86 15.00
5276.08 7535.02 15.00
5269.88 7526.17 15.00
5263.69 7517.32 15.00
5257.49 7508.48 15.00
5251.30 7499.63 15.00
5245.10 7490.78 15.00
5238.91 7481.94 15.00
5232.71 7473.09 15.00
5226.52 7464.24 15.00
